net,refdes,pin,side,x,y,value,part_number
GND,D5303,3,T,815,2418,SP3420-04UTG-1_UDFN-10,SP3420-04UTG-1_UDFN-10
GND,D5303,8,T,787,2418,SP3420-04UTG-1_UDFN-10,SP3420-04UTG-1_UDFN-10
GND,D5305,2,B,780,2597,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D5901,2,T,1734,3971,NSR20F30NXT5G_DSN2-2,NSR20F30NXT5G_DSN2-2
GND,D5902,2,T,1747,3693,NSR20F30NXT5G_DSN2-2,NSR20F30NXT5G_DSN2-2
GND,D6101,2,B,615,4023,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6102,2,T,577,3937,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6103,2,T,577,3885,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6104,2,B,606,3763,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6105,2,T,615,4075,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6106,2,T,615,4023,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6107,2,B,615,4075,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6108,2,T,612,3753,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6109,2,B,605,3816,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6110,2,T,612,3805,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6120,2,T,672,4256,NSR20F30NXT5G_DSN2-2,NSR20F30NXT5G_DSN2-2
GND,D6203,2,B,616,3092,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6204,2,B,616,3144,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6205,2,T,577,3264,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6206,2,T,577,3212,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6207,2,B,620,3355,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6208,2,B,620,3407,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6209,2,T,625,3091,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6210,2,T,625,3143,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6211,2,T,621,3356,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6212,2,T,621,3408,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6220,2,T,521,3465,NSR20F30NXT5G_DSN2-2,NSR20F30NXT5G_DSN2-2
GND,D6701,2,B,840,1503,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D6702,3,T,845,1583,SP3420-04UTG-1_UDFN-10,SP3420-04UTG-1_UDFN-10
GND,D6702,8,T,873,1583,SP3420-04UTG-1_UDFN-10,SP3420-04UTG-1_UDFN-10
GND,D6703,2,B,840,1555,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D7002,2,T,1631,1259,CDZCGT2RA6P8B_VMN2-2,CDZCGT2RA6P8B_VMN2-2-Y_CS20
GND,D7201,1,B,5828,4705,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D7202,1,B,5828,4608,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D7401,2,T,3137,3771,AOZ8231ADI-03_DFN1P0X0P6-2,AOZ8231ADI-03_DFN1P0X0P6-2
GND,D7402,2,T,3240,3771,AOZ8231ADI-03_DFN1P0X0P6-2,AOZ8231ADI-03_DFN1P0X0P6-2
GND,D7403,2,T,2495,5295,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D7404,2,T,2425,5295,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D7405,2,T,2636,5295,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D7406,2,T,2566,5295,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D7407,2,T,2833,5220,CDZCGT2RA6P8B_VMN2-2,CDZCGT2RA6P8B_VMN2-2
GND,D7408,2,T,2751,3445,CDZCGT2RA6P8B_VMN2-2,CDZCGT2RA6P8B_VMN2-2-Y_CS20
GND,D7801,2,B,1542,4664,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D7802,2,B,1542,4718,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D7803,2,B,1495,4758,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D7804,2,B,1495,4811,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D7805,2,B,1436,4933,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D7806,2,B,1473,4970,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D7807,2,B,1436,5165,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D7808,2,B,1436,5219,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D8401,2,B,775,712,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D8402,2,B,852,1336,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D8403,2,B,891,1336,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D8404,2,B,775,760,PESD5V0X1BCAL_SOD882-2,PESD5V0X1BCAL_SOD882-2
GND,D8405,2,T,864,1338,AOZ8231ADI-03_DFN1P0X0P6-2,AOZ8231ADI-03_DFN1P0X0P6-2
GND,D9501,2,B,8474,4881,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D9502,2,B,8418,4881,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D9503,2,B,8581,4895,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D9506,2,B,10132,4942,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D9507,2,B,10077,4942,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D9512,2,B,780,2657,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
GND,D9513,2,B,592,3239,RCLAMP2451ZATFT_SLP0603P2X3F2,RCLAMP2451ZATFT_SLP0603P2X3F2
GND,D9514,2,B,602,3324,RCLAMP2451ZATFT_SLP0603P2X3F2,RCLAMP2451ZATFT_SLP0603P2X3F2
GND,D9515,2,B,643,3220,RCLAMP2451ZATFT_SLP0603P2X3F2,RCLAMP2451ZATFT_SLP0603P2X3F2
GND,D9516,2,T,580,3318,RCLAMP2451ZATFT_SLP0603P2X3F2,RCLAMP2451ZATFT_SLP0603P2X3F2
GND,D9517,2,B,592,3895,RCLAMP2451ZATFT_SLP0603P2X3F2,RCLAMP2451ZATFT_SLP0603P2X3F2
GND,D9518,2,T,591,3995,RCLAMP2451ZATFT_SLP0603P2X3F2,RCLAMP2451ZATFT_SLP0603P2X3F2
GND,D9519,2,B,643,3898,RCLAMP2451ZATFT_SLP0603P2X3F2,RCLAMP2451ZATFT_SLP0603P2X3F2
GND,D9520,2,B,592,3996,RCLAMP2451ZATFT_SLP0603P2X3F2,RCLAMP2451ZATFT_SLP0603P2X3F2
GND,H1,1,B,594,5362,HOLEA,PAD_C6P5D2P8
GND,H10,1,T,8044,1646,HOLEA,PAD_C7P0D2P3
GND,H12,1,T,2756,768,HOLEA,PAD_C6P0D2P3
GND,H13,1,T,7992,906,HOLEA,PAD_C6P0D2P3
GND,H2,1,T,3287,5839,HOLEA,PAD_C6P0D2P3
GND,H3,1,T,5512,5177,HOLEA,PAD_C6P0D2P3
GND,H6,1,B,1575,4437,HOLEA,PAD_CT6P0D3P3
GND,H7,1,T,3456,3928,HOLEA,PAD_C7P0D2P3
GND,H9,1,B,2893,1587,HOLEA,PAD_CT6P0D3P3
GND,J2101,8,B,6410,893,FCI_10051922-1810ELF,FCI_10051922-1810ELF_18P-T
GND,J2101,10,B,6370,893,FCI_10051922-1810ELF,FCI_10051922-1810ELF_18P-T
GND,J2101,12,B,6331,893,FCI_10051922-1810ELF,FCI_10051922-1810ELF_18P-T
GND,J2101,14,B,6291,893,FCI_10051922-1810ELF,FCI_10051922-1810ELF_18P-T
GND,J2101,19,B,6596,787,FCI_10051922-1810ELF,FCI_10051922-1810ELF_18P-T
GND,J2101,20,B,6164,787,FCI_10051922-1810ELF,FCI_10051922-1810ELF_18P-T
GND,JBATT1,1,B,3699,865,ALLTOP_C13903-10835-L,ALLTOP_C13903-10835-L_8P
GND,JBATT1,2,B,3620,865,ALLTOP_C13903-10835-L,ALLTOP_C13903-10835-L_8P
GND,JBATT1,9,B,3075,865,ALLTOP_C13903-10835-L,ALLTOP_C13903-10835-L_8P
GND,JBATT1,10,B,3775,865,ALLTOP_C13903-10835-L,ALLTOP_C13903-10835-L_8P
GND,JCAM1,14,B,8406,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,15,B,8421,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,18,B,8469,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,24,B,8563,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,30,B,8657,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,31,B,8097,4986,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,32,B,8097,5078,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,33,B,8165,4957,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,34,B,8240,4991,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,35,B,8335,4991,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,36,B,8429,4991,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,37,B,8524,4991,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,38,B,8618,4991,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,39,B,8693,4957,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,40,B,8762,5078,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCAM1,41,B,8762,4986,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
GND,JCMOS,1,B,6331,2494,SHORT PADS,SHORTPADS
GND,JCP1,14,B,6821,1043,HIGHSTAR_FC5AF141-2933-1H,HIGHSTAR_FC5AF141-2933-1H_14P
GND,JCP1,15,B,7127,951,HIGHSTAR_FC5AF141-2933-1H,HIGHSTAR_FC5AF141-2933-1H_14P
GND,JCP1,16,B,6770,951,HIGHSTAR_FC5AF141-2933-1H,HIGHSTAR_FC5AF141-2933-1H_14P
GND,JDDR1,1,B,3982,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,2,B,3992,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,5,B,4021,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,6,B,4031,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,9,B,4061,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,10,B,4071,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,14,B,4110,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,15,B,4120,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,18,B,4149,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,19,B,4159,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,22,B,4189,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,23,B,4199,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,26,B,4228,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,27,B,4238,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,30,B,4268,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,31,B,4277,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,35,B,4317,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,36,B,4327,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,39,B,4356,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,40,B,4366,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,43,B,4395,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,44,B,4405,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,47,B,4435,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,48,B,4445,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,51,B,4474,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,52,B,4484,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,56,B,4523,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,57,B,4533,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,60,B,4563,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,61,B,4573,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,64,B,4602,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,65,B,4612,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,68,B,4642,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,69,B,4651,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,72,B,4681,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,73,B,4691,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,77,B,4730,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,78,B,4740,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,81,B,4769,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,82,B,4779,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,85,B,4809,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,86,B,4819,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,89,B,4848,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,90,B,4858,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,93,B,4888,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,94,B,4897,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,98,B,4937,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,99,B,4947,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,102,B,4976,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,103,B,4986,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,106,B,5016,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,107,B,5025,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,166,B,5685,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,167,B,5695,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,168,B,5705,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,171,B,5734,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,172,B,5744,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,175,B,5773,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,176,B,5783,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,180,B,5823,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,181,B,5832,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,184,B,5862,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,185,B,5872,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,188,B,5901,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,189,B,5911,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,192,B,5941,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,193,B,5951,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,196,B,5980,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,197,B,5990,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,201,B,6029,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,202,B,6039,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,205,B,6069,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,206,B,6079,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,209,B,6108,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,210,B,6118,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,213,B,6147,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,214,B,6157,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,217,B,6187,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,218,B,6197,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,222,B,6236,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,223,B,6246,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,226,B,6275,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,227,B,6285,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,230,B,6315,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,231,B,6325,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,234,B,6354,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,235,B,6364,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,238,B,6394,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,239,B,6403,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,243,B,6443,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,244,B,6453,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,247,B,6482,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,248,B,6492,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,251,B,6521,2150,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,252,B,6531,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,260,B,6610,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,261,B,6627,1516,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JDDR1,262,B,3965,1516,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
GND,JFAN1,3,B,6913,1370,HIGHS_WS83050-S0171-HF,HIGHS_WS83050-S0171-HF_5P-T
GND,JFAN1,6,B,6990,1484,HIGHS_WS83050-S0171-HF,HIGHS_WS83050-S0171-HF_5P-T
GND,JFAN1,7,B,6990,1256,HIGHS_WS83050-S0171-HF,HIGHS_WS83050-S0171-HF_5P-T
GND,JFPR1,4,B,10149,5039,HIGHSTAR_FC5AF101-2933-1H,HIGHSTAR_FC5AF101-2933-1H_10P
GND,JFPR1,11,B,10317,5132,HIGHSTAR_FC5AF101-2933-1H,HIGHSTAR_FC5AF101-2933-1H_10P
GND,JFPR1,12,B,10039,5132,HIGHSTAR_FC5AF101-2933-1H,HIGHSTAR_FC5AF101-2933-1H_10P
GND,JHDMI1,2,B,628,2189,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JHDMI1,5,B,569,2248,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JHDMI1,8,B,628,2307,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JHDMI1,11,B,569,2366,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JHDMI1,17,B,569,2484,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JHDMI1,20,B,342,1986,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JHDMI1,21,B,598,2061,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JHDMI1,22,B,598,2632,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JHDMI1,23,B,342,2707,ALLTOP_C12959-11935-L,ALLTOP_C12959-11935-L_19P
GND,JKBL2,30,T,2564,2923,HIGHS_FC5AF361-1151H,HIGHS_FC5AF361-1151H_36P-T
GND,JKBL2,37,T,1895,2760,HIGHS_FC5AF361-1151H,HIGHS_FC5AF361-1151H_36P-T
GND,JKBL2,38,T,2781,2760,HIGHS_FC5AF361-1151H,HIGHS_FC5AF361-1151H_36P-T
GND,JLAN2,9,B,390,5281,ALLTOP_C10179-10839-L,ALLTOP_C10179-10839-L_12P-T
GND,JLAN2,10,B,390,4546,ALLTOP_C10179-10839-L,ALLTOP_C10179-10839-L_12P-T
GND,JLCD1,1,B,2677,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,4,B,2724,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,7,B,2772,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,10,B,2819,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,13,B,2866,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,16,B,2913,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,24,B,3039,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,26,B,3071,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,38,B,3260,5352,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,41,B,2573,5384,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,42,B,2573,5475,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,43,B,3395,5384,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,44,B,3395,5475,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,45,B,2642,5354,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,46,B,2748,5389,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,47,B,2843,5389,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,48,B,2937,5389,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,49,B,3032,5389,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,50,B,3126,5389,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,51,B,3220,5389,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JLCD1,52,B,3327,5354,I-PEX_20654-040E-01,I-PEX_20654-040E-01_40P
GND,JME,1,B,6239,3199,SHORT PADS,SHORTPADS
GND,JMIPI1,19,T,3978,4394,HIGHS_FC5AF201-2931H,HIGHS_FC5AF201-2931H_20P
